name,date,type,comment,potentials
2009-08-12 New posting for C-H-O,2009-08-12,new posting,New posting for C-H-O,"[{'id': '2008--Chenoweth-K-van-Duin-A-C-T-Goddard-W-A--C-H-O', 'key': '78d3b4a7-7778-4b5c-8fd7-eb164a7a82b5', 'dois': ['10.1021/jp709896w'], 'elements': ['C', 'H', 'O'], 'othername': None, 'fictional': False}]"
2009-08-12-New-posting-for-C-H-O,2009-08-12,new posting,New posting for C-H-O,"[{'id': '2008--Chenoweth-K-van-Duin-A-C-T-Goddard-W-A--C-H-O', 'key': '78d3b4a7-7778-4b5c-8fd7-eb164a7a82b5', 'dois': ['10.1021/jp709896w'], 'elements': ['C', 'H', 'O'], 'othername': None, 'fictional': False}]"
2009-08-18 New posting for Cu-Ag,2009-08-18,new posting,New posting for Cu-Ag,"[{'id': '2009--Wu-H-H-Trinkle-D-R--Cu-Ag', 'key': '4001be29-5c6f-4fe9-bae3-71371cb247b6', 'dois': ['10.1016/j.commatsci.2009.09.026'], 'elements': ['Cu', 'Ag'], 'othername': None, 'fictional': False}]"
2009-08-18-New-posting-for-Cu-Ag,2009-08-18,new posting,New posting for Cu-Ag,"[{'id': '2009--Wu-H-H-Trinkle-D-R--Cu-Ag', 'key': '4001be29-5c6f-4fe9-bae3-71371cb247b6', 'dois': ['10.1016/j.commatsci.2009.09.026'], 'elements': ['Cu', 'Ag'], 'othername': None, 'fictional': False}]"
2009-09-30 New posting for Ni-Al,2009-09-30,new posting,New posting for Ni-Al,"[{'id': '2009--Purja-Pun-G-P-Mishin-Y--Ni-Al', 'key': 'd71da5f1-db8a-46ad-a78d-c026768200af', 'dois': ['10.1080/14786430903258184'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2009-09-30-New-posting-for-Ni-Al,2009-09-30,new posting,New posting for Ni-Al,"[{'id': '2009--Purja-Pun-G-P-Mishin-Y--Ni-Al', 'key': 'd71da5f1-db8a-46ad-a78d-c026768200af', 'dois': ['10.1080/14786430903258184'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-01 New posting for Ti,2009-12-01,new posting,New posting for Ti,"[{'id': '1992--Ackland-G-J--Ti', 'key': '8a634ace-23df-4e28-8041-007bd0e11cfb', 'dois': ['10.1080/01418619208247999'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2009-12-01 New posting for Ti-Al,2009-12-01,new posting,New posting for Ti-Al,"[{'id': '2003--Zope-R-R-Mishin-Y--Ti-Al', 'key': '274cbc15-b7c1-4701-a3e8-07b0b046ad7b', 'dois': ['10.1103/physrevb.68.024102'], 'elements': ['Ti', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-01-New-posting-for-Ti,2009-12-01,new posting,New posting for Ti,"[{'id': '1992--Ackland-G-J--Ti', 'key': '8a634ace-23df-4e28-8041-007bd0e11cfb', 'dois': ['10.1080/01418619208247999'], 'elements': ['Ti'], 'othername': None, 'fictional': False}]"
2009-12-01-New-posting-for-Ti-Al,2009-12-01,new posting,New posting for Ti-Al,"[{'id': '2003--Zope-R-R-Mishin-Y--Ti-Al', 'key': '274cbc15-b7c1-4701-a3e8-07b0b046ad7b', 'dois': ['10.1103/physrevb.68.024102'], 'elements': ['Ti', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-10 New postings for Fe and Cu,2009-12-10,new posting,New postings for Fe and Cu,"[{'id': '2006--Chamati-H-Papanicolaou-N-I-Mishin-Y-Papaconstantopoulos-D-A--Fe', 'key': '3837b6da-05c4-4148-97cd-90b26a2092df', 'dois': ['10.1016/j.susc.2006.02.010'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2001--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A-et-al--Cu-2', 'key': '5a94a06a-22c7-41e0-8593-ee42d4728018', 'dois': ['10.1103/physrevb.63.224106'], 'elements': ['Cu'], 'othername': None, 'fictional': False}]"
2009-12-10-New-postings-for-Fe-and-Cu,2009-12-10,new posting,New postings for Fe and Cu,"[{'id': '2006--Chamati-H-Papanicolaou-N-I-Mishin-Y-Papaconstantopoulos-D-A--Fe', 'key': '3837b6da-05c4-4148-97cd-90b26a2092df', 'dois': ['10.1016/j.susc.2006.02.010'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2001--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A-et-al--Cu-2', 'key': '5a94a06a-22c7-41e0-8593-ee42d4728018', 'dois': ['10.1103/physrevb.63.224106'], 'elements': ['Cu'], 'othername': None, 'fictional': False}]"
2009-12-15 Updated publication information,2009-12-15,updated posting,Updated publication information,"[{'id': '2009--Purja-Pun-G-P-Mishin-Y--Ni-Al', 'key': 'd71da5f1-db8a-46ad-a78d-c026768200af', 'dois': ['10.1080/14786430903258184'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-15-Updated-publication-information,2009-12-15,updated posting,Updated publication information,"[{'id': '2009--Purja-Pun-G-P-Mishin-Y--Ni-Al', 'key': 'd71da5f1-db8a-46ad-a78d-c026768200af', 'dois': ['10.1080/14786430903258184'], 'elements': ['Ni', 'Al'], 'othername': None, 'fictional': False}]"
2009-12-22 New posting for Fe-Ni,2009-12-22,new posting,New posting for Fe-Ni,"[{'id': '2005--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A--Fe-Ni', 'key': '76452c02-4b98-4632-bce7-93fec036f745', 'dois': ['10.1016/j.actamat.2005.05.001'], 'elements': ['Fe', 'Ni'], 'othername': None, 'fictional': False}]"
2009-12-22-New-posting-for-Fe-Ni,2009-12-22,new posting,New posting for Fe-Ni,"[{'id': '2005--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A--Fe-Ni', 'key': '76452c02-4b98-4632-bce7-93fec036f745', 'dois': ['10.1016/j.actamat.2005.05.001'], 'elements': ['Fe', 'Ni'], 'othername': None, 'fictional': False}]"
2010-01-11 Updated publication information,2010-01-11,updated posting,Updated publication information,"[{'id': '2009--Mendelev-M-I-Asta-M-Rahman-M-J-Hoyt-J-J--Al-Mg', 'key': 'e670535a-c524-41ef-a20c-0e150165c790', 'dois': ['10.1080/14786430903260727'], 'elements': ['Al', 'Mg'], 'othername': None, 'fictional': False}]"
2010-01-11-Updated-publication-information,2010-01-11,updated posting,Updated publication information,"[{'id': '2009--Mendelev-M-I-Asta-M-Rahman-M-J-Hoyt-J-J--Al-Mg', 'key': 'e670535a-c524-41ef-a20c-0e150165c790', 'dois': ['10.1080/14786430903260727'], 'elements': ['Al', 'Mg'], 'othername': None, 'fictional': False}]"
2010-01-22 New posting for Cu-Ta,2010-01-22,new posting,New posting for Cu-Ta,"[{'id': '2008--Hashibon-A-Lozovoi-A-Y-Mishin-Y-et-al--Cu-Ta', 'key': '40679d21-487e-4b95-b5c3-16e137083ab2', 'dois': ['10.1103/physrevb.77.094131'], 'elements': ['Cu', 'Ta'], 'othername': None, 'fictional': False}]"
2010-01-22-New-posting-for-Cu-Ta,2010-01-22,new posting,New posting for Cu-Ta,"[{'id': '2008--Hashibon-A-Lozovoi-A-Y-Mishin-Y-et-al--Cu-Ta', 'key': '40679d21-487e-4b95-b5c3-16e137083ab2', 'dois': ['10.1103/physrevb.77.094131'], 'elements': ['Cu', 'Ta'], 'othername': None, 'fictional': False}]"
2010-02-03 New posting for Si,2010-02-03,new posting,New posting for Si,"[{'id': '1992--Baskes-M-I--Si', 'key': '206f614d-8dc9-471e-92da-7b9e5d646b0d', 'dois': ['10.1103/physrevb.46.2727'], 'elements': ['Si'], 'othername': None, 'fictional': False}]"
2010-02-03-New-posting-for-Si,2010-02-03,new posting,New posting for Si,"[{'id': '1992--Baskes-M-I--Si', 'key': '206f614d-8dc9-471e-92da-7b9e5d646b0d', 'dois': ['10.1103/physrevb.46.2727'], 'elements': ['Si'], 'othername': None, 'fictional': False}]"
2010-03-18 New posting for Fe-Cu-Ni,2010-03-18,new posting,New posting for Fe-Cu-Ni,"[{'id': '2009--Bonny-G-Pasianot-R-C-Castin-N-Malerba-L--Fe-Cu-Ni', 'key': '38d0b8d9-5e5d-426a-9d70-b5a7e501528b', 'dois': ['10.1080/14786430903299824'], 'elements': ['Fe', 'Cu', 'Ni'], 'othername': None, 'fictional': False}]"
2010-03-18-New-posting-for-Fe-Cu-Ni,2010-03-18,new posting,New posting for Fe-Cu-Ni,"[{'id': '2009--Bonny-G-Pasianot-R-C-Castin-N-Malerba-L--Fe-Cu-Ni', 'key': '38d0b8d9-5e5d-426a-9d70-b5a7e501528b', 'dois': ['10.1080/14786430903299824'], 'elements': ['Fe', 'Cu', 'Ni'], 'othername': None, 'fictional': False}]"
2010-04-05 New postings for Al-Pb and Ta,2010-04-05,new posting,New postings for Al-Pb and Ta,"[{'id': '2000--Landa-A-Wynblatt-P-Siegel-D-J-et-al--Al-Pb', 'key': 'df6401e2-2541-484c-bf5d-1b0ff4b1ac39', 'dois': ['10.1016/s1359-6454(00)00002-1'], 'elements': ['Al', 'Pb'], 'othername': None, 'fictional': False}, {'id': '2003--Li-Y-Siegel-D-J-Adams-J-B-Liu-X-Y--Ta', 'key': 'f981e581-ca81-43ba-9c24-dc5f8ef0a908', 'dois': ['10.1103/physrevb.67.125101'], 'elements': ['Ta'], 'othername': None, 'fictional': False}]"
2010-04-05-New-postings-for-Al-Pb-and-Ta,2010-04-05,new posting,New postings for Al-Pb and Ta,"[{'id': '2000--Landa-A-Wynblatt-P-Siegel-D-J-et-al--Al-Pb', 'key': 'df6401e2-2541-484c-bf5d-1b0ff4b1ac39', 'dois': ['10.1016/s1359-6454(00)00002-1'], 'elements': ['Al', 'Pb'], 'othername': None, 'fictional': False}, {'id': '2003--Li-Y-Siegel-D-J-Adams-J-B-Liu-X-Y--Ta', 'key': 'f981e581-ca81-43ba-9c24-dc5f8ef0a908', 'dois': ['10.1103/physrevb.67.125101'], 'elements': ['Ta'], 'othername': None, 'fictional': False}]"
2010-04-21 New posting for fictional Al,2010-04-21,new posting,New posting for fictional Al,"[{'id': '2010--Mendelev-M-I-Rahman-M-J-Hoyt-J-J-Asta-M--fictional-Al', 'key': 'not-assigned', 'dois': ['10.1088/0965-0393/18/7/074002'], 'elements': ['Al'], 'othername': None, 'fictional': True}]"
2010-04-21-New-posting-for-fictional-Al,2010-04-21,new posting,New posting for fictional Al,"[{'id': '2010--Mendelev-M-I-Rahman-M-J-Hoyt-J-J-Asta-M--fictional-Al', 'key': 'not-assigned', 'dois': ['10.1088/0965-0393/18/7/074002'], 'elements': ['Al'], 'othername': None, 'fictional': True}]"
2010-05-07 Updated publication information,2010-05-07,updated posting,Updated publication information,"[{'id': '2009--Wu-H-H-Trinkle-D-R--Cu-Ag', 'key': '4001be29-5c6f-4fe9-bae3-71371cb247b6', 'dois': ['10.1016/j.commatsci.2009.09.026'], 'elements': ['Cu', 'Ag'], 'othername': None, 'fictional': False}]"
2010-05-07-Updated-publication-information,2010-05-07,updated posting,Updated publication information,"[{'id': '2009--Wu-H-H-Trinkle-D-R--Cu-Ag', 'key': '4001be29-5c6f-4fe9-bae3-71371cb247b6', 'dois': ['10.1016/j.commatsci.2009.09.026'], 'elements': ['Cu', 'Ag'], 'othername': None, 'fictional': False}]"
2010-07-02 New posting for Fe,2010-07-02,new posting,New posting for Fe,"[{'id': '2005--Dudarev-S-L-Derlet-P-M--Fe', 'key': '340d3301-a6ab-4800-984f-1f3cee9890b2', 'dois': ['10.1088/0953-8984/17/44/003'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2010-07-02-New-posting-for-Fe,2010-07-02,new posting,New posting for Fe,"[{'id': '2005--Dudarev-S-L-Derlet-P-M--Fe', 'key': '340d3301-a6ab-4800-984f-1f3cee9890b2', 'dois': ['10.1088/0953-8984/17/44/003'], 'elements': ['Fe'], 'othername': None, 'fictional': False}]"
2010-07-14 New posting for Nb,2010-07-14,new posting,New posting for Nb,"[{'id': '2010--Fellinger-M-R-Park-H-Wilkins-J-W--Nb', 'key': '0bee394c-6121-48ac-8e6d-81351d0bda44', 'dois': ['10.1103/physrevb.81.144119'], 'elements': ['Nb'], 'othername': None, 'fictional': False}]"
2010-07-14-New-posting-for-Nb,2010-07-14,new posting,New posting for Nb,"[{'id': '2010--Fellinger-M-R-Park-H-Wilkins-J-W--Nb', 'key': '0bee394c-6121-48ac-8e6d-81351d0bda44', 'dois': ['10.1103/physrevb.81.144119'], 'elements': ['Nb'], 'othername': None, 'fictional': False}]"
"2010-10-12 New postings for Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Fe, Mo, Ta, W, Mg, Co, Ti, Zr, and their ",2010-10-12,new posting,"New postings for Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Fe, Mo, Ta, W, Mg, Co, Ti, Zr, and their alloys","[{'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ag', 'key': '248c41b3-6861-43d0-876c-e528541b699f', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ag'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Al', 'key': '5aad5c57-cd85-48b3-acb0-db0cc4f68e31', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Al'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Au', 'key': '56c064d6-9bb4-42b6-b5e1-b54bb4dbae1d', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Au'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Co', 'key': '86bc9f81-1601-4a4f-bcc1-f5d7d96c3e9b', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Co'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Cu-Ag-Au', 'key': '52da31b9-68f7-4c14-9e82-048f6fbdd145', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Cu', 'Ag', 'Au'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Cu', 'key': '2b5389d5-0313-43be-a7c7-ce9130ba51b8', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Cu'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Fe', 'key': '030d9099-cf7f-4623-b597-733e80d214a4', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Mg', 'key': '816ed50d-9e0c-4bd2-8a9a-dca83d4e0bb8', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Mg'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Mo', 'key': '7447a36d-7f5c-4562-b569-825d3cf66cc1', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Mo'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ni', 'key': '063c9331-69e4-40e4-bb6c-cee56d576b60', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ni'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Pb', 'key': '1c592eb1-3cdd-4090-aa0b-e7246f7d5f91', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Pb'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Pd', 'key': '5ea5dd6c-a901-4acd-b036-9c33a0acd5b0', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Pd'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Pt', 'key': 'b236a7be-023c-4df7-8146-da4fbdfcf900', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Pt'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ta-Cu', 'key': 'f12498d1-1560-4fcf-af65-7ec9934b0b95', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ta', 'Cu'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ta', 'key': '04aa4a53-9229-4c6a-8a03-1e8836fd8712', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ta'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ti', 'key': '8d877089-5fc2-418e-a2b3-a1b468483690', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--W', 'key': '865a32b5-d4ae-4e3e-bd8b-b503d0ba1a78', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['W'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Zr', 'key': '6ccabaad-9825-4d97-9f9d-3058fca15806', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Zr'], 'othername': None, 'fictional': False}]"
2010-10-12-New-postings-for-Cu-Ag-Au-Ni-Pd-Pt-Al-Pb-Fe-Mo-Ta-W-Mg-Co-Ti-Zr-and-their,2010-10-12,new posting,"New postings for Cu, Ag, Au, Ni, Pd, Pt, Al, Pb, Fe, Mo, Ta, W, Mg, Co, Ti, Zr, and their alloys","[{'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ag', 'key': '248c41b3-6861-43d0-876c-e528541b699f', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ag'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Al', 'key': '5aad5c57-cd85-48b3-acb0-db0cc4f68e31', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Al'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Au', 'key': '56c064d6-9bb4-42b6-b5e1-b54bb4dbae1d', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Au'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Co', 'key': '86bc9f81-1601-4a4f-bcc1-f5d7d96c3e9b', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Co'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Cu-Ag-Au', 'key': '52da31b9-68f7-4c14-9e82-048f6fbdd145', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Cu', 'Ag', 'Au'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Cu', 'key': '2b5389d5-0313-43be-a7c7-ce9130ba51b8', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Cu'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Fe', 'key': '030d9099-cf7f-4623-b597-733e80d214a4', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Fe'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Mg', 'key': '816ed50d-9e0c-4bd2-8a9a-dca83d4e0bb8', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Mg'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Mo', 'key': '7447a36d-7f5c-4562-b569-825d3cf66cc1', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Mo'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ni', 'key': '063c9331-69e4-40e4-bb6c-cee56d576b60', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ni'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Pb', 'key': '1c592eb1-3cdd-4090-aa0b-e7246f7d5f91', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Pb'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Pd', 'key': '5ea5dd6c-a901-4acd-b036-9c33a0acd5b0', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Pd'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Pt', 'key': 'b236a7be-023c-4df7-8146-da4fbdfcf900', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Pt'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ta-Cu', 'key': 'f12498d1-1560-4fcf-af65-7ec9934b0b95', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ta', 'Cu'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ta', 'key': '04aa4a53-9229-4c6a-8a03-1e8836fd8712', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ta'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Ti', 'key': '8d877089-5fc2-418e-a2b3-a1b468483690', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Ti'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--W', 'key': '865a32b5-d4ae-4e3e-bd8b-b503d0ba1a78', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['W'], 'othername': None, 'fictional': False}, {'id': '2004--Zhou-X-W-Johnson-R-A-Wadley-H-N-G--Zr', 'key': '6ccabaad-9825-4d97-9f9d-3058fca15806', 'dois': ['10.1103/physrevb.69.144113'], 'elements': ['Zr'], 'othername': None, 'fictional': False}]"
2010-10-14 New posting for Cu,2010-10-14,new posting,New posting for Cu,"[{'id': '2008--Mendelev-M-I-Kramer-M-J-Becker-C-A-Asta-M--Cu', 'key': '22c4afdb-5a0c-4541-9634-18f325e1af02', 'dois': ['10.1080/14786430802206482'], 'elements': ['Cu'], 'othername': None, 'fictional': False}]"
2010-10-14-New-posting-for-Cu,2010-10-14,new posting,New posting for Cu,"[{'id': '2008--Mendelev-M-I-Kramer-M-J-Becker-C-A-Asta-M--Cu', 'key': '22c4afdb-5a0c-4541-9634-18f325e1af02', 'dois': ['10.1080/14786430802206482'], 'elements': ['Cu'], 'othername': None, 'fictional': False}]"
2010-10-26 New posting for Al-H,2010-10-26,new posting,New posting for Al-H,"[{'id': '2010--Apostol-F-Mishin-Y--Al-H', 'key': '82612d4c-ee29-4d1c-b5eb-64bbc9da5485', 'dois': ['10.1103/physrevb.82.144115'], 'elements': ['Al', 'H'], 'othername': None, 'fictional': False}]"
2010-10-26 New postings for Ni and Ni-Zr,2010-10-26,new posting,New postings for Ni and Ni-Zr,"[{'id': '2012--Mendelev-M-I-Kramer-M-J-Hao-S-G-et-al--Ni', 'key': '62289060-2bb5-4fa0-97ed-721404566f81', 'dois': ['10.1080/14786435.2012.712220'], 'elements': ['Ni'], 'othername': None, 'fictional': False}, {'id': '2012--Mendelev-M-I-Kramer-M-J-Hao-S-G-et-al--Ni-Zr', 'key': '2d5b5a05-a57f-4986-95ea-c5940c51d4d7', 'dois': ['10.1080/14786435.2012.712220'], 'elements': ['Ni', 'Zr'], 'othername': None, 'fictional': False}]"
2010-10-26-New-posting-for-Al-H,2010-10-26,new posting,New posting for Al-H,"[{'id': '2010--Apostol-F-Mishin-Y--Al-H', 'key': '82612d4c-ee29-4d1c-b5eb-64bbc9da5485', 'dois': ['10.1103/physrevb.82.144115'], 'elements': ['Al', 'H'], 'othername': None, 'fictional': False}]"
2010-10-26-New-postings-for-Ni-and-Ni-Zr,2010-10-26,new posting,New postings for Ni and Ni-Zr,"[{'id': '2012--Mendelev-M-I-Kramer-M-J-Hao-S-G-et-al--Ni', 'key': '62289060-2bb5-4fa0-97ed-721404566f81', 'dois': ['10.1080/14786435.2012.712220'], 'elements': ['Ni'], 'othername': None, 'fictional': False}, {'id': '2012--Mendelev-M-I-Kramer-M-J-Hao-S-G-et-al--Ni-Zr', 'key': '2d5b5a05-a57f-4986-95ea-c5940c51d4d7', 'dois': ['10.1080/14786435.2012.712220'], 'elements': ['Ni', 'Zr'], 'othername': None, 'fictional': False}]"
2011-02-21 New posting for Au,2011-02-21,new posting,New posting for Au,"[{'id': '2005--Grochola-G-Russo-S-P-Snook-I-K--Au', 'key': '92a89043-e2bb-4c37-bd39-d98bf4e1de1e', 'dois': ['10.1063/1.2124667'], 'elements': ['Au'], 'othername': None, 'fictional': False}]"
2011-02-21-New-posting-for-Au,2011-02-21,new posting,New posting for Au,"[{'id': '2005--Grochola-G-Russo-S-P-Snook-I-K--Au', 'key': '92a89043-e2bb-4c37-bd39-d98bf4e1de1e', 'dois': ['10.1063/1.2124667'], 'elements': ['Au'], 'othername': None, 'fictional': False}]"
2011-03-16 New posting for Al,2011-03-16,new posting,New posting for Al,"[{'id': '2009--Winey-J-M-Kubota-A-Gupta-Y-M--Al', 'key': '880e9ae4-d244-4333-8d8a-924700c90084', 'dois': ['10.1088/0965-0393/17/5/055004'], 'elements': ['Al'], 'othername': None, 'fictional': False}]"
2011-03-16 New posting for Al-Cu,2011-03-16,new posting,New posting for Al-Cu,"[{'id': '2011--Apostol-F-Mishin-Y--Al-Cu', 'key': '84180f41-771d-4098-8a97-89fa1510477b', 'dois': ['10.1103/physrevb.83.054116'], 'elements': ['Al', 'Cu'], 'othername': None, 'fictional': False}]"
2011-03-16-New-posting-for-Al,2011-03-16,new posting,New posting for Al,"[{'id': '2009--Winey-J-M-Kubota-A-Gupta-Y-M--Al', 'key': '880e9ae4-d244-4333-8d8a-924700c90084', 'dois': ['10.1088/0965-0393/17/5/055004'], 'elements': ['Al'], 'othername': None, 'fictional': False}]"
2011-03-16-New-posting-for-Al-Cu,2011-03-16,new posting,New posting for Al-Cu,"[{'id': '2011--Apostol-F-Mishin-Y--Al-Cu', 'key': '84180f41-771d-4098-8a97-89fa1510477b', 'dois': ['10.1103/physrevb.83.054116'], 'elements': ['Al', 'Cu'], 'othername': None, 'fictional': False}]"
2011-03-24 New posting for Pd-H,2011-03-24,new posting,New posting for Pd-H,"[{'id': '2008--Zhou-X-W-Zimmerman-J-A-Wong-B-M-Hoyt-J-J--Pd-H', 'key': 'd788f3a8-6884-4a89-80ae-c66f0abdfa1a', 'dois': ['10.1557/jmr.2008.0090'], 'elements': ['Pd', 'H'], 'othername': None, 'fictional': False}]"
2011-03-24-New-posting-for-Pd-H,2011-03-24,new posting,New posting for Pd-H,"[{'id': '2008--Zhou-X-W-Zimmerman-J-A-Wong-B-M-Hoyt-J-J--Pd-H', 'key': 'd788f3a8-6884-4a89-80ae-c66f0abdfa1a', 'dois': ['10.1557/jmr.2008.0090'], 'elements': ['Pd', 'H'], 'othername': None, 'fictional': False}]"
