name,year_authors,year,volume,url,title,publisher,pages,number,month,journal,doi,author,abstract,ENTRYTYPE,ID,issue,numpages,note,day,booktitle,address
10.1007_s11661-014-2230-4,2014--Lee-B-M-Lee-B-J,2014,45,https://doi.org/10.1007%2Fs11661-014-2230-4,A Comparative Study on Hydrogen Diffusion in Amorphous and Crystalline Metals Using a Molecular Dynamics Simulation,Springer Nature,2906--2915,6,feb,Metallurgical and Materials Transactions A,10.1007/s11661-014-2230-4,Byeong-Moon Lee and Byeong-Joo Lee,"A comparative study on hydrogen diffusion in amorphous and simple crystalline structures  has been carried out using molecular dynamics simulations. The Cu-Zr bulk metallic glass (BMG) system is selected as the model material and a modified embedded-atom method (MEAM) interatomic potential for the Cu-Zr-H ternary system is developed for the atomistic  simulation. It is found that the diffusivity of hydrogen in amorphous alloys is lower  than that in open structured crystals but higher than that in close-packed crystals.  The hydrogen diffusion in amorphous alloys is strongly hydrogen concentration dependent compared to crystals, increasing as the hydrogen content increases, and the Arrhenius  plot of hydrogen diffusion in  amorphous alloys shows an upward curvature. The reasons to rationalize all the findings are discussed based on the variety of energy state and  migration energy barrier for interstitial sites in amorphous alloys.",article,Lee_2014,,,,,,
10.1007_s11837-021-04733-8,2021--Song-H-Mendelev-M-I,2021,73,https://doi.org/10.1007%2Fs11837-021-04733-8,Molecular Dynamics Study of Mechanism of Solid-Liquid Interface Migration and Defect Formation in Al<sub>3</sub>Sm Alloy,Springer Science and Business Media LLC,2312--2319,8,jun,JOM,10.1007/s11837-021-04733-8,H. Song and M. I. Mendelev,"We developed a Finnis-Sinclair potential suitable for molecular dynamics (MD) simulation of solidification of Al<sub>3</sub>Sm alloy. The MD simulation showed a layer-by-layer solid-liquid interface (SLI) motion mechanism in the [001] direction. The SLI migration seems to be satisfactorily described by Wilson-Frenkel theory in the temperature interval from 0.7T<sub>m</sub> to T<sub>m</sub>. It was found that the SLI passes an atomic plane as soon as the Sm sublattice is formed while the Al sublattice keeps forming for a while after that, and high Al diffusivity is observed in the solid phase. Those unsettled Al atoms trapped in solid phase will leave vacancies and form defects.",article,Song_2021,,,,,,
10.1016_0022-3093(94)90351-4,1994--Nakano-A-Kalia-R-K-Vashishta-P,1994,171,https://doi.org/10.1016%2F0022-3093%2894%2990351-4,First sharp diffraction peak and intermediate-range order in amorphous silica: finite-size effects in molecular dynamics simulations,Elsevier BV,157--163,2,aug,Journal of Non-Crystalline Solids,10.1016/0022-3093(94)90351-4,Aiichiro Nakano and Rajiv K. Kalia and Priya Vashishta,"Large-scale molecular dynamics simulations of amorphous silica are carried out on systems containing up to 41472 particles using an effective interatomic potential consisting of two-body and three-body covalent interactions. The intermediate-range order represented by the first sharp diffraction peak (FSDP) in the neutron static structure factor shows a significant dependence on the system size. Correlations in the range 0.4–1.1 nm are found to play a vital role in determining the shape of the FSDP correctly. The calculated structure factor for the largest system is in excellent agreement with neutron diffraction experiments, including the height of the FSDP.",article,Nakano_1994,,,,,,
10.1016_0031-8914(71)90138-8,1971--Hogervorst-W,1971,51,https://doi.org/10.1016%2F0031-8914%2871%2990138-8,Transport and equilibrium properties of simple gases and forces between like and unlike atoms,Elsevier BV,77--89,1,jan,Physica,10.1016/0031-8914(71)90138-8,W. Hogervorst,"A reanalysis of the transport and equilibrium properties of simple gases was performed in order to obtain more reliable parameter values for two models describing the interatomic potential, the Lennard-Jones (12-6) model and the (exp-6) model. New parameter values for the like interactions were derived from recent accurate viscosity measurements, with an exception for helium. The parameter values for the (exp-6) model differ considerably from the commonly used values given by Mason. The description of the transport properties of neon, argon, krypton and xenon is in general improved with these new parameter values. However, the description of the second virial coefficient of the considered gases with the parameter values from transport properties is rather poor. The parameter values for the unlike interactions could be calculated with several combination rules, confirming the results obtained from recent diffusion measurements in noble-gas mixtures.",article,Hogervorst_1971,,,,,,
10.1016_0039-6028(92)90642-j,1992--Wallace-W-E-Ackland-G-J,1992,275,https://doi.org/10.1016%2F0039-6028%2892%2990642-j,Calculated energies and relaxations of the low-index planes of ordered Cu3Au,Elsevier BV,L685--L690,1-2,sep,Surface Science,10.1016/0039-6028(92)90642-j,W.E. Wallace and G.J. Ackland,"The absolute-zero specific energies, and the atomic-scale relaxations, of the (100), (110), and (111) surfaces of ordered Cu<sub>3</sub>Au were calculated using Finnis-Sinclair many-body potentials. The gold-rich truncations of the (100) and (110) surfaces were found to be energetically favored over the gold-poor truncations. This is in agreement with published low-energy ion scattering studies of Cu<sub>3</sub>Au. The mixed-composition truncations of these low-index surfaces were each found by the calculation to be buckled, with gold atoms displaced toward the vacuum, as compared to copper atoms. A comparison is made to a low-energy electron diffraction study of gold deposited onto the Cu(100), which also showed the buckling of a mixed copper-gold surface, and to embedded-atom method calculations of the low-index surfaces of Ni<sub>3</sub>Al, which is isomorphic to ordered Cu<sub>3</sub>Au.",article,Wallace_1992,,,,,,
10.1016_0039-6028(96)00801-1,1996--Stephenson-P-C-L-Radny-M-W-Smith-P-V,1996,366,https://doi.org/10.1016%2F0039-6028%2896%2900801-1,A modified Stillinger-Weber potential for modelling silicon surfaces,Elsevier BV,177--184,1,oct,Surface Science,10.1016/0039-6028(96)00801-1,P. C. L. Stephenson and M. W. Radny and P. V. Smith,"The widely used Stillinger-Weber potential for silicon interactions has been modified to provide an accurate description of the Si(111)-(7 × 7) surface including the highly reactive adatom and rest-atom sites. This modified potential also provides a good representation of bulk silicon, and the Si(001)-(1 × 1), Si(001)-(2 × 1), Si(111)-(1 × 1) and Si(111)-(2 × 1) surfaces. Above the melting temperature of 1683 K, however, the original Stillinger-Weber potential is probably superior.",article,Stephenson_1996,,,,,,
10.1016_0039-6028(96)00816-3,1996--Jacobsen-K-W-Stoltze-P-Norskov-J-K,1996,366,https://doi.org/10.1016%2F0039-6028%2896%2900816-3,A semi-empirical effective medium theory for metals and alloys,Elsevier BV,394--402,2,oct,Surface Science,10.1016/0039-6028(96)00816-3,K.W. Jacobsen and P. Stoltze and J.K. Nørskov,"A detailed derivation of the simplest form of the effective medium theory for bonding in metallic systems is presented, and parameters for the fcc metals Ni, Pd, Pt, Cu, Ag and Au are given. The derivation of parameters is discussed in detail to show how new parameterizations can be made. The method and the parameterization is tested for a number of surface and bulk problems. In particular we present calculations of the energetics of metal atoms deposited on metal surfaces. The calculated energies include heats of adsorption, energies of overlayers, both pseudomorphic and relaxed, as well as energies of atoms alloyed into the first surface layer.",article,Jacobsen_1996,,,,,,
10.1016_j.actamat.2003.11.026,2004--Mishin-Y,2004,52,https://doi.org/10.1016%2Fj.actamat.2003.11.026,Atomistic modeling of the γ and γ'-phases of the Ni-Al system,Elsevier BV,1451--1467,6,apr,Acta Materialia,10.1016/j.actamat.2003.11.026,Y. Mishin,"A new embedded-atom potential has been developed for Ni<sub>3</sub>Al by fitting to experimental and first-principles data. The potential describes lattice properties of Ni<sub>3</sub>Al, point defects, planar faults, as well as the γ and γ′ fields on the Ni–Al phase diagram. The potential is applied to calculate the energies of coherent Ni/Ni<sub>3</sub>Al interphase boundaries with three different crystallographic orientations. Depending on the orientation, the interface energy varies between 12 and 46 mJ/m2. Coherent γ/γ′ interfaces existing at high temperatures are shown to be more diffuse and are likely to have a lower energy than Ni/Ni<sub>3</sub>Al interfaces.",article,Mishin_2004,,,,,,
10.1016_j.actamat.2005.05.001,2005--Mishin-Y-Mehl-M-J-Papaconstantopoulos-D-A,2005,53,https://doi.org/10.1016%2Fj.actamat.2005.05.001,Phase stability in the Fe-Ni system: Investigation by first-principles calculations and atomistic simulations,Elsevier BV,4029--4041,15,sep,Acta Materialia,10.1016/j.actamat.2005.05.001,Y. Mishin and M.J. Mehl and D.A. Papaconstantopoulos,"First-principles calculations of the energy of various crystal structures of Fe, Ni and ordered Fe–Ni compounds with different stoichiometries have been performed by the linearized augmented plane wave (LAPW) method in the generalized gradient approximation. The most stable compounds are L12–Ni3Fe, L10–FeNi, C11f–Ni2Fe and C11f–Fe2Ni. The L12-Ni3Fe compound has the largest negative formation energy, which is consistent with the experimental Fe–Ni phase diagram. The L10–FeNi compound has also been observed experimentally in meteorite samples as a metastable phase. It is suggested here that the C11f compounds could also form in Fe–Ni alloys at low temperatures. A new semi-empirical interatomic potential has been developed for the Fe–Ni system by fitting to experimental data and the results of the LAPW calculations. Recognizing the significance of the covalent component of bonding in this system, the potential is based on the embedded-atom method (EAM) but additionally includes a bond-angle dependence. In comparison with the existing modified EAM method, our potential form is simpler, extends interactions to several (3–5) coordination shells and replaces the screening procedure by a smooth cutoff of the potential functions. The potential reproduces a variety of properties of Fe and Ni with a reasonable accuracy. It also reproduces all stability trends across the Fe–Ni system established by the LAPW calculations. The potential can be useful in atomistic simulations of the phases of the Fe–Ni system.",article,Mishin_2005,,,,,,
10.1016_j.actamat.2005.09.034,2006--Lee-B-J,2006,54,https://doi.org/10.1016%2Fj.actamat.2005.09.034,A modified embedded-atom method interatomic potential for the Fe–C system,Elsevier BV,701--711,3,feb,Acta Materialia,10.1016/j.actamat.2005.09.034,Byeong-Joo Lee,"A modified embedded-atom method (MEAM) interatomic potential for the Fe–C binary system has been developed using previous MEAM potentials of Fe and C. The potential parameters were determined by fitting to experimental information on the dilute heat of solution of carbon, the vacancy–carbon binding energy and its configuration, the location of interstitial carbon atoms and the migration energy of carbon atoms in body-centered cubic (bcc) Fe, and to a first-principles calculation result for the cohesive energy of a hypothetical NaCl-type FeC. The potential reproduces the known physical properties of carbon as an interstitial solute element in bcc Fe and face-centered cubic Fe very well. The applicability of this potential to atomistic approaches for investigating interactions between carbon interstitial solute atoms and other defects such as vacancies, dislocations and grain boundaries, and also for investigating the effects of carbon on various deformation and mechanical behaviors of iron is demonstrated.",article,Lee_2006,,,,,,
10.1016_j.actamat.2006.06.003,2006--Lee-B-J-Lee-T-H-Kim-S-J,2006,54,https://doi.org/10.1016%2Fj.actamat.2006.06.003,A modified embedded-atom method interatomic potential for the Fe–N system: A comparative study with the Fe–C system,Elsevier BV,4597--4607,17,oct,Acta Materialia,10.1016/j.actamat.2006.06.003,Byeong-Joo Lee and Tae-Ho Lee and Sung-Joon Kim,"A modified embedded-atom method (MEAM) interatomic potential for the Fe–N binary system has been developed using previously developed MEAM potentials of iron and nitrogen. The potential parameters were determined by fitting to the dilute heat of solution and migration energy of nitrogen atoms, the vacancy–nitrogen binding energy and its configuration in body-centered cubic iron, and the enthalpy of formation and lattice parameter of Fe<sub>4</sub>N. The potential reproduces very well the known physical properties of nitrogen as an interstitial solute element in body- and face-centered cubic iron and of various nitrides. The similarity and difference between nitrogen and carbon as equally important interstitial elements in iron are also examined. The applicability of the potential to atomistic approaches for investigating interactions between nitrogen atoms and other defects such as vacancies, dislocations, and grain boundaries, and also for investigating the effects of nitrogen on various deformation and mechanical behaviors of iron is demonstrated.",article,Lee_2006,,,,,,
10.1016_j.actamat.2007.08.041,2007--Lee-B-J-Jang-J-W,2007,55,https://doi.org/10.1016%2Fj.actamat.2007.08.041,A modified embedded-atom method interatomic potential for the Fe-H system,Elsevier BV,6779--6788,20,dec,Acta Materialia,10.1016/j.actamat.2007.08.041,Byeong-Joo Lee and Je-Wook Jang,"A modified embedded-atom method (MEAM) interatomic potential for the Fe-H binary system has been developed using previously developed MEAM potentials of Fe and H. The potential parameters were determined by fitting to experimental data on the dilute heat of solution of hydrogen in body-centered cubic (bcc) and face-centered cubic (fcc) Fe, the vacancy-hydrogen binding energy in bcc Fe, and to a first-principles calculation for the lattice parameter and bulk modulus of a hypothetical NaCl-type FeH. The potential accurately reproduces the known physical properties of hydrogen as an interstitial solute element in bcc and fcc Fe. The applicability of the potential to atomistic approaches for investigating interactions between hydrogen atoms and other defects such as vacancies, dislocations and grain boundaries, and also for investigating the effects of hydrogen on various deformation and mechanical behaviors of iron is demonstrated.",article,Lee_2007,,,,,,
10.1016_j.actamat.2008.03.027,2008--Kim-Y-M-Lee-B-J,2008,56,https://doi.org/10.1016%2Fj.actamat.2008.03.027,Modified embedded-atom method interatomic potentials for the Ti-C and Ti-N binary systems,Elsevier BV,3481--3489,14,aug,Acta Materialia,10.1016/j.actamat.2008.03.027,Young-Min Kim and Byeong-Joo Lee,"Modified embedded-atom method (MEAM) interatomic potentials for the Ti-C and Ti-N binary systems have been developed using previously developed MEAM potentials of Ti, C and N. The potential parameters were determined by fitting to experimental data on the enthalpy of formation, lattice parameter, elastic constants, thermal linear expansion of NaCl-type TiC and TiN, and dilute heat of solution of carbon and nitrogen atoms in hexagonal close-packed Ti. The potentials can describe fundamental physical properties (structural, elastic, thermal and surface properties) of the alloys well, in good agreement with experimental information or first-principles calculations. The applicability of the potentials to atomistic investigations of interactions between TiC or TiN precipitates and matrix, dislocations or other defects, and their effects on deformation and mechanical behaviors of metallic alloys is discussed.",article,Kim_2008,,,,,,
10.1016_j.actamat.2008.09.031,2009--Kim-Y-M-Shin-Y-H-Lee-B-J,2009,57,https://doi.org/10.1016%2Fj.actamat.2008.09.031,Modified embedded-atom method interatomic potentials for pure Mn and the Fe-Mn system,Elsevier BV,474--482,2,jan,Acta Materialia,10.1016/j.actamat.2008.09.031,Young-Min Kim and Young-Han Shin and Byeong-Joo Lee,"Modified embedded-atom method (MEAM) interatomic potentials for pure Mn and the Fe-Mn binary system have been developed using a previously developed MEAM potential for Fe. The potentials can describe various fundamental physical properties of pure Mn (cohesive energy, structural energy differences, lattice parameters, elastic constants, vacancy formation energy, surface energy, etc.) and alloy behaviors (enthalpy of mixing in face-centered cubic and liquid phases, composition dependency of lattice parameters in various solid solutions) in reasonable agreement with experimental information or other empirical approaches. The applicability of the potential to atomistic investigations on a wide range of mechanical or deformation properties of the Fe-Mn alloys is demonstrated.",article,Kim_2009,,,,,,
10.1016_j.actamat.2009.03.019,2009--Kim-H-K-Jung-W-S-Lee-B-J,2009,57,https://doi.org/10.1016%2Fj.actamat.2009.03.019,Modified embedded-atom method interatomic potentials for the Fe-Ti-C and Fe-Ti-N ternary systems,Elsevier BV,3140--3147,11,jun,Acta Materialia,10.1016/j.actamat.2009.03.019,Hyun-Kyu Kim and Woo-Sang Jung and Byeong-Joo Lee,"Modified embedded-atom method (MEAM) interatomic potentials for the Fe-Ti-C and Fe-Ti-N ternary systems have been developed based on the previously developed MEAM potentials for sub-unary and binary systems. An attempt was made to find a way to determine ternary potential parameters using the corresponding binary parameters. The calculated coherent interface properties, interfacial energy, work of separation and misfit strain energy between body-centered cubic Fe and NaCl-type TiC or TiN were reasonable when compared with relevant first-principles calculations under the same condition. The applicability of the present potentials for atomistic simulations to investigate nucleation kinetics of TiC or TiN precipitates and their effects on mechanical properties in steels is also demonstrated.",article,Kim_2009,,,,,,
10.1016_j.actamat.2014.12.010,2015--Asadi-E-Asle-Zaeem-M-Nouranian-S-Baskes-M-I,2015,86,https://doi.org/10.1016%2Fj.actamat.2014.12.010,"Two-phase solid-liquid coexistence of Ni, Cu, and Al by molecular dynamics simulations using the modified embedded-atom method",Elsevier BV,169--181,,mar,Acta Materialia,10.1016/j.actamat.2014.12.010,Ebrahim Asadi and M. Asle Zaeem and Sasan Nouranian and Michael I. Baskes,"The two-phase solid–liquid coexisting structures of Ni, Cu, and Al are studied by molecular dynamics (MD) simulations using the second nearest-neighbor (2NN) modified-embedded atom method (MEAM) potential. For this purpose, the existing 2NN-MEAM parameters for Ni and Cu were modified to make them suitable for the MD simulations of the problems related to the two-phase solid–liquid coexistence of these elements. Using these potentials, we compare calculated low-temperature properties of Ni, Cu, and Al, such as elastic constants, structural energy differences, vacancy formation energy, stacking fault energies, surface energies, specific heat and thermal expansion coefficient with experimental data. The solid–liquid coexistence approach is utilized to accurately calculate the melting points of Ni, Cu, and Al. The MD calculations of the expansion in melting, latent heat and the liquid structure factor are also compared with experimental data. In addition, the solid–liquid interface free energy and surface anisotropy of the elements are determined from the interface fluctuations, and the predictions are compared to the experimental and computational data in the literature.",article,Asadi_2015,,,,,,
